source_sheet,field_season,kml_stop_id,longitude,latitude
2016-points,2016,09-14-16-1,104.6702777777778,32.04055555555556
2016-points,2016,09-14-16-2,104.7959722222222,32.1183610996701
2016-points,2016,09-15-16-1,104.7187181126646,32.24650814985931
2016-points,2016,09-15-16-2A,104.5380277777778,32.41419444444444
2016-points,2016,09-15-16-3,104.5380277777778,32.41419444444444
2016-points,2016,09-15-16-4,104.6702222222222,32.03436111111111
2016-points,2016,09-15-16-5,104.70575,31.90569444444444
2016-points,2016,09-15-16-6,104.7488611111111,31.82363888888889
2016-points,2016,09-15-16-7,104.7488055555556,31.82363888888889
2016-points,2016,09-16-16-1,104.7485833333333,31.82094444444444
2016-points,2016,09-16-16-2,104.5327222222222,32.47275000000001
2016-points,2016,09-16-16-3,104.5238333333333,32.46788888888889
2016-points,2016,09-16-16-4,104.5238611111111,32.46786111111111
2016-points,2016,09-16-16-5,104.5205277777778,32.46786111111111
2016-points,2016,09-16-16-6,104.1368611111111,32.54983333333333
2016-points,2016,09-16-16-7,104.1368611111111,32.54983333333333
2016-points,2016,09-17-16-1,103.9642777777778,32.75230555555556
2018-points,2018,AS-05-15-18-1,104.7221,31.89838888888889
2018-points,2018,AS-05-15-18-2,104.6845055555556,32.34885277777778
2018-points,2018,AS-05-15-18-3,104.777675,32.45911666666667
2018-points,2018,AS-05-16-18-1A,104.2478388888889,32.48743055555556
2018-points,2018,AS-05-16-18-1B,104.249,32.48822222222222
2018-points,2018,AS-05-16-18-2,104.1368333326114,32.51463055757984
2018-points,2018,AS-05-16-18-3,104.1817416666667,32.40803611111111
2018-points,2018,AS-05-17-18-1,104.503,32.148
2018-points,2018,AS-05-17-18-2A,104.5107277777778,32.14354166666666
2018-points,2018,AS-05-17-18-2B,104.5107277777778,32.14354166666666
2018-points,2018,AS-05-17-18-2C,104.5074083333333,32.14236666666667
2018-points,2018,AS-05-17-18-3,104.526,32.023
2018-points,2018,AS-05-17-18-4,104.5511472222222,32.03859722222222
2018-points,2018,AS-05-17-18-5,104.5544194444444,32.03767777777777
2018-points,2018,AS-05-17-18-6,104.5634222222222,32.03856388888889
2018-points,2018,AS-05-17-18-7,104.5626916666667,32.03881666666666
2018-points,2018,AS-05-17-18-8,104.5629777777778,32.03798333333333
2018-points,2018,AS-05-17-18-9,104.563,32.038
2018-points,2018,AS-05-17-18-10,104.5630194444444,32.03761944444445
2018-points,2018,AS-05-18-18-1,104.0361111111111,32.71722777777778
2018-points,2018,AS-05-18-18-2,104.0076444444445,32.72765277777778
2018-points,2018,AS-05-18-18-3,103.9586111111111,32.75219444444444
2018-points,2018,AS-05-18-18-4,103.8462444444445,32.76041666666666
2018-points,2018,AS-05-18-18-5,103.7901999989858,32.75187222969986
2018-points,2018,AS-05-18-18-6,103.7406194444445,32.74062777777778
2018-points,2018,AS-05-18-18-7,103.6892805555556,32.79933888888889
2018-points,2018,AS-05-18-18-8,103.7066666666667,32.78426111111111
2018-points,2018,AS-05-18-18-9,104.0748138888889,32.68617777777777
2018-points,2018,AS-05-19-18-1A,104.6588611111111,32.39881944444444
2018-points,2018,AS-05-19-18-1B,104.6575194444445,32.39773888888889
2018-points,2018,AS-05-19-18-2,104.4615111111111,31.83671111111111
2018-points,2018,AS-05-19-18-3,104.3938916666667,31.72299166666667
2018-points,2018,AS-05-19-18-4,104.3958694444445,31.72596666666667
2018-points,2018,AS-05-19-18-5,104.4009055555556,31.73125
2018-points,2018,AS-05-19-18-6,104.4060944444445,31.73792777777778
2018-points,2018,AS-05-19-18-7,103.4838027777778,31.07564722222222
2018-points,2018,AS-05-20-18-1A,104.3147416666667,31.60925555555556
2018-points,2018,AS-05-20-18-1B,104.3141055555556,31.60578055555556
2018-points,2018,AS-05-20-18-1C,104.3138027783048,31.60602500160437
2018-points,2018,AS-05-20-18-2,104.3128472223085,31.60717500239697
2018-points,2018,AS-05-20-18-3,104.312225,31.61235555555556
2018-points,2018,AS-05-20-18-4A,104.3104138888889,31.61556666666667
2018-points,2018,AS-05-20-18-4B,104.3094055555556,31.61570277777778
2018-points,2018,AS-05-20-18-4C,104.3090611111111,31.61586944444445
2018-points,2018,AS-05-20-18-5A,104.3159138888889,31.62488055555556
2018-points,2018,AS-05-20-18-5B,104.3182722222222,31.62514166666667
2018-points,2018,AS-05-20-18-5C,104.3184277777778,31.62519722222222
2018-points,2018,AS-05-20-18-6,104.3128472222222,31.62675
2018-points,2018,AS-05-20-18-7A,104.3088805555556,31.63099722222222
2018-points,2018,AS-05-20-18-7B,104.30815,31.63243055555556
2018-points,2018,AS-05-20-18-7C,104.3084055555556,31.63263888888889
2018-points,2018,AS-05-20-18-7D,104.3084055555556,31.63309166666667
2018-points,2018,AS-05-20-18-8,104.3093416666667,31.63728055555555
2018-points,2018,AS-05-20-18-9,104.3090305555555,31.6377
2018-points,2018,AS-05-20-18-10A,104.301075,31.63947222222222
2018-points,2018,AS-05-20-18-10B,104.3004111111111,31.640125
2018-points,2018,AS-05-20-18-11,104.2970027777778,31.64407222222222
2018-points,2018,AS-05-20-18-12,104.2983,31.64566388888889
2018-points,2018,AS-05-20-18-13,104.3018583333333,31.64851944444444
2018-points,2018,AS-05-20-18-14,104.3035083333333,31.64988333333334
2018-points,2018,AS-05-20-18-15,104.3108138888889,31.65805555555556
2018-points,2018,AS-05-20-18-16,104.3140333333333,31.66084166666666
2018-points,2018,AS-05-22-18-1A,104.3170694444444,31.601875
2018-points,2018,AS-05-22-18-1B,104.3176638888889,31.60296388888889
2018-points,2018,AS-05-22-18-1C,104.3176666666667,31.60308055555556
2018-points,2018,AS-05-22-18-1D,104.3171666666667,31.60174722222222
2018-points,2018,AS-05-22-18-2,104.2922861111111,31.64429166666666
2018-points,2018,AS-05-22-18-3A,104.2922861111111,31.64575
2018-points,2018,AS-05-22-18-3B,104.2905,31.64742222222222
2018-points,2018,AS-05-22-18-3C,104.2890194444444,31.64742222222222
2018-points,2018,AS-05-22-18-3D,104.2882444444444,31.64776388888889
2018-points,2018,AS-05-22-18-4,104.2876388888889,31.64736666666667
2018-points,2018,AS-05-22-18-5,104.2834916666667,31.64591666666666
2018-points,2018,AS-05-22-18-6A,104.2800527777778,31.64651111111111
