Locality,Latitude,Longitude,Unit,Plane Type,strike,dip,altitude (m)
5-15-18-1,31.89838889,104.7221,D,Bedding,235,46,
5-15-18-1,31.89838889,104.7221,D,Bedding,253,35,
5-15-18-1,31.89838889,104.7221,D,Fault,252,48,
5-15-18-2,32.34885278,104.6845056,S,Foliation,220,73,
5-15-18-3,32.45911667,104.777675,S,Foliation,,,
5-16-18-1A,32.48743056,104.2478389,S,Bedding,125,60,
5-16-18-1A,32.48743056,104.2478389,S,Bedding,110,70,
5-16-18-1A,32.48743056,104.2478389,S,Foliation,123,55,
5-16-18-1B,32.48822222,104.249,S,Foliation,52,58,
5-16-18-2,32.51463056,104.1368333,C,Bedding,5,72,
5-16-18-2,32.51463056,104.1368333,C,Bedding,335,90,
5-16-18-2,32.51463056,104.1368333,C,Bedding,180,60,
5-16-18-2,32.51463056,104.1368333,C,Bedding,0,60,
5-16-18-3,32.40803611,104.1817417,C,Bedding,153,67,
5-16-18-3,32.40803611,104.1817417,C,Bedding,155,62,
5-17-18-1,32.148,104.503,S,Foliation,,,
5-17-18-2B,32.14354167,104.5107278,S,Cleavage,240,73,
5-17-18-2B,32.14354167,104.5107278,C,Cleavage,240,65,
5-17-18-2C,32.14236667,104.5074083,C,Foliation,205,71,
5-17-18-2C,32.14236667,104.5074083,C,Cleavage,262,80,
5-17-18-2C,32.14236667,104.5074083,C,Foliation,270,90,
5-17-18-2C,32.14236667,104.5074083,C,Fault,325,82,
5-17-18-3,32.023,104.526,S,Foliation,105,61,
5-17-18-4,32.03859722,104.5511472,S,Foliation,230,53,
5-17-18-5,32.03767778,104.5544194,S,Foliation,70,34,
5-17-18-6,32.03856389,104.5634222,S,Foliation,230,28,
5-17-18-7,32.03881667,104.5626917,S,Foliation,260,33,
5-17-18-8,32.03798333,104.5629778,S,Foliation,245,40,
5-17-18-9,32.038,104.563,S,Foliation,,,
5-17-18-10,32.03761944,104.5630194,S,Foliation,102,54,
5-18-18-1,32.71722778,104.0361111,P,Bedding,none,,
5-18-18-3,32.75219444,103.9586111,P,Bedding,none,,
5-18-18-4,32.76041667,103.8462444,S,Foliation,105,90,
5-18-18-6,32.74062778,103.7406194,Tr,Bedding,,,
5-18-18-7,32.79933889,103.6892806,C,Bedding,100,65,
5-18-18-8,32.78426111,103.7066667,P,Bedding,345,68,
5-18-18-8,32.78426111,103.7066667,P,Bedding,350,80,
5-19-18-1A,32.39881944,104.6588611,S,Foliation,267,68,
5-19-18-1A,32.39881944,104.6588611,S,Foliation,315,78,
5-19-18-1B,32.39773889,104.6575194,S,Fault,none,,
5-19-18-2,31.83671111,104.4615111,D,Bedding,200,77,
5-19-18-2,31.83671111,104.4615111,D,Bedding,188,66,
5-19-18-3,31.72299167,104.3938917,Tr,Bedding,240,64,
5-19-18-4,31.72596667,104.3958694,Tr,Bedding,240,63,
5-19-18-5,31.73125,104.4009056,Tr,Bedding,none,,
5-19-18-6,31.73792778,104.4060944,Tr,Bedding,190,30,
5-20-18-1A,31.60925556,104.3147417,Tr,Bedding,245,56,
5-20-18-1B,31.60578056,104.3141056,P,Bedding,260,68,
5-20-18-1B,31.60578056,104.3141056,P,Fault,150,38,
5-20-18-1C,31.606025,104.3138028,P,Bedding,240,54,
5-20-18-2,31.607175,104.3128472,Tr,Bedding,244,70,
5-20-18-3,31.61235556,104.312225,Tr,Bedding,230,35,
5-20-18-4A,31.61556667,104.3104139,Tr,Bedding,243,66,
5-20-18-4B,31.61570278,104.3094056,Tr,Bedding,222,54,
5-20-18-4C,31.61586944,104.3090611,Tr,Bedding,,,
5-20-18-5A,31.62488056,104.3159139,Tr,Bedding,245,42,
5-20-18-5B,31.62514167,104.3182722,Tr,Bedding,,,
5-20-18-5C,31.62519722,104.3184278,Tr,Fault,250,50,
5-20-18-6,31.62675,104.3128472,Tr,Fault,185,76,
5-20-18-7A,31.63099722,104.3088806,Tr,Bedding,,,
5-20-18-7B,31.63243056,104.30815,Tr,Bedding,225,39,
5-20-18-7D,31.63309167,104.3084056,Tr,Bedding,210,34,
5-20-18-8,31.63728056,104.3093417,Tr,Bedding,218,31,
5-20-18-10A,31.63947222,104.301075,Tr,Bedding,250,25,
5-20-18-10B,31.640125,104.3004111,Tr,Bedding,200,34,
5-20-18-11,31.64407222,104.2970028,D,Bedding,278,50,
5-20-18-12,31.64566389,104.2983,D,Bedding,215,18,
5-20-18-13,31.64851944,104.3018583,D,Bedding,240,25,
5-20-18-14,31.64988333,104.3035083,P,Bedding,,,
5-20-18-15,31.65805556,104.3108139,P,Bedding,235,24,
5-20-18-16,31.66084167,104.3140333,C,Bedding,225,42,
5-22-18-1A,31.601875,104.3170694,Tr,Bedding,252,38,
5-22-18-1C,31.60308056,104.3176667,P,Bedding,245,47,
5-22-18-2,31.64429167,104.2922861,Tr,Bedding,,,
5-22-18-3A,31.64575,104.2922861,D,Bedding,,,
5-22-18-3B,31.64742222,104.2905,,Bedding,235,52,
5-22-18-3B,31.64742222,104.2905,,Bedding,262,43,
